category,question,option_a,option_b,option_c,correct_index,correct_answer
Tools & Tinkering,Proper order for tightening wheel nuts?,Any,Clockwise,Criss-cross (star),2,Criss-cross (star)
Tools & Tinkering,WD-40 is for…,Rust & loosening,Shaving,Cooking,0,Rust & loosening
Tools & Tinkering,Torque wrench purpose:,Break bolts loose,Precise tightness,Decoration,1,Precise tightness
Tools & Tinkering,"When drilling metal, first…",Max RPM,Center-punch,Use wood bit,1,Center-punch
Style & Swagger,Best test of cologne:,Wrist,Walk-through,Ask your ex,2,Ask your ex
Style & Swagger,Wardrobe rule:,Trends define you,Fit + feel > trend,Only black,1,Fit + feel > trend
Style & Swagger,Leather care starts with:,Conditioning,Gentle cleaning,More cologne,1,Gentle cleaning
Style & Swagger,Good haircut is:,Your whole personality,"A frame, not the art",Pointless,1,"A frame, not the art"
Fire & Food,Medium-rare equals:,Balance,Overcomplicate,Undercooked,0,Balance
Fire & Food,Braai tongs also for:,Click like weapon,Point at guests,Sword fight,0,Click like weapon
Fire & Food,"Fire won’t start, add:",Patience,Petrol,More swearing,2,More swearing
Fire & Food,Resting meat:,Dries it,Redistributes juices,Myth,1,Redistributes juices
Grit & Growth,Strength is:,Deadlift PR,Getting up when you don’t want to,Bench numbers,1,Getting up when you don’t want to
Grit & Growth,Best habit change:,All at once,Tiny daily steps,Only when motivated,1,Tiny daily steps
Grit & Growth,Confidence sounds like:,Watch this,I got this,Hold my beer,1,I got this
Grit & Growth,When life gets messy:,Build,Burn,"Breathe, fix, repeat",2,"Breathe, fix, repeat"
Legends & Lore,'Man in the Arena' author:,T. Roosevelt,M. Aurelius,J. Rogan,0,T. Roosevelt
Legends & Lore,MacGyver vs Batman (no prep):,MacGyver,Batman,Bear Grylls steals gear,0,MacGyver
Legends & Lore,Soundtrack for grit:,AC/DC,Hans Zimmer,80s montage,1,Hans Zimmer
Legends & Lore,'Man up' means:,Hide emotion,Do what's needed,Pretend you're fine,1,Do what's needed
Medical & Body,RICE stands for:,"Rest, Ice, Compress, Elevate","Run, Ice, Carry, Eat","Rest, Inject, Cool, Ease",0,"Rest, Ice, Compress, Elevate"
Medical & Body,Normal resting heart rate (adult):,30–50 bpm,60–100 bpm,110–140 bpm,1,60–100 bpm
Medical & Body,Hydration indicator:,Dark urine,Light urine,No sweat,1,Light urine
TV & Film,'I'll be back' is from:,Predator,Terminator,Die Hard,1,Terminator
TV & Film,Director of Inception:,Nolan,Fincher,Villeneuve,0,Nolan
Sport & Strength,Soccer: players per side on field:,9,10,11,2,11
Sport & Strength,Deadlift primarily targets:,Quads,Posterior chain,Biceps,1,Posterior chain
History & Warfare,WWII ended:,1943,1945,1947,1,1945
History & Warfare,Hannibal crossed which mountains:,Andes,Alps,Atlas,1,Alps
Ladies & Love,Best apology includes:,Excuse,Ownership + impact + ask,Silence,1,Ownership + impact + ask
Ladies & Love,Good first date rule:,Monologue,"Ask, listen, pace",Overshare exes,1,"Ask, listen, pace"
Psychology,Confirmation bias is:,Seeking disconfirming info,Favoring beliefs-confirming info,Memory loss,1,Favoring beliefs-confirming info
Psychology,Attachment styles include:,"Secure, anxious, avoidant","Fixed, growth","Intro, extro",0,"Secure, anxious, avoidant"
Language & Literature,"'To be, or not to be' author:",Marlowe,Shakespeare,Chaucer,1,Shakespeare
Language & Literature,A sonnet has:,10 lines,12 lines,14 lines,2,14 lines
Geography,Capital of South Africa (executive):,Cape Town,Pretoria,Johannesburg,1,Pretoria
Geography,Largest ocean:,Atlantic,Indian,Pacific,2,Pacific
Arts & Culture,Mona Lisa painter:,Michelangelo,da Vinci,Raphael,1,da Vinci
Arts & Culture,Jazz originated mainly in:,USA,France,Brazil,0,USA
Science & Technology,H2O is:,Hydrogen peroxide,Water,Ozone,1,Water
Science & Technology,Earth orbits the sun in:,24h,365 days,30 days,1,365 days
Religion & Belief,Sikh place of worship:,Temple,Gurdwara,Mosque,1,Gurdwara
Religion & Belief,Five Pillars belong to:,Hinduism,Islam,Judaism,1,Islam
Mythology,Norse thunder god:,Odin,Thor,Loki,1,Thor
Mythology,Greek underworld ruler:,Zeus,Hades,Ares,1,Hades
Fantasy & Fiction,Ring in LOTR:,Frodo,Aragorn,Gandalf,0,Frodo
Fantasy & Fiction,Valyrian steel is from:,Wheel of Time,Game of Thrones,The Witcher,1,Game of Thrones
Sex & Relationships,Consent is:,Assumed if dating,"Clear, enthusiastic, ongoing",Only verbal,1,"Clear, enthusiastic, ongoing"
Sex & Relationships,Aftercare is:,Unnecessary,Part of responsible intimacy,Only for injuries,1,Part of responsible intimacy
